Started render process: /usr/bin/melt /tmp/kdenlive_rendering_r10050.mlt.mlt -profile atsc_720p_2997 -consumer avformat:/home/garnaud/Documents/Biologie0/Blog/Article 2/Selection marker.mp4 progress=1 properties=x264-medium f=mp4 vcodec=libx264 acodec=aac g=120 crf=23 ab=160k preset=faster threads=1 real_time=-1
melt: Current Frame: 1, percentage: 0
melt: Current Frame: 2, percentage: 0
melt: Current Frame: 3, percentage: 0
melt: Current Frame: 4, percentage: 0
melt: Current Frame: 5, percentage: 0
melt: Current Frame: 6, percentage: 0
melt: Current Frame: 7, percentage: 1
melt: Current Frame: 8, percentage: 1
melt: Current Frame: 9, percentage: 1
melt: Current Frame: 10, percentage: 1
melt: Current Frame: 11, percentage: 1
melt: Current Frame: 12, percentage: 1
melt: Current Frame: 13, percentage: 1
melt: Current Frame: 15, percentage: 2
melt: Current Frame: 16, percentage: 2
melt: Current Frame: 17, percentage: 2
melt: Current Frame: 18, percentage: 2
melt: Current Frame: 19, percentage: 2
melt: Current Frame: 20, percentage: 2
melt: Current Frame: 21, percentage: 3
melt: Current Frame: 23, percentage: 3
melt: Current Frame: 24, percentage: 3
melt: Current Frame: 25, percentage: 3
melt: Current Frame: 27, percentage: 3
melt: Current Frame: 28, percentage: 4
melt: Current Frame: 29, percentage: 4
melt: Current Frame: 30, percentage: 4
melt: Current Frame: 31, percentage: 4
melt: Current Frame: 32, percentage: 4
melt: Current Frame: 34, percentage: 4
melt: Current Frame: 35, percentage: 5
melt: Current Frame: 36, percentage: 5
melt: Current Frame: 37, percentage: 5
melt: Current Frame: 38, percentage: 5
melt: Current Frame: 39, percentage: 5
melt: Current Frame: 40, percentage: 5
melt: Current Frame: 41, percentage: 6
melt: Current Frame: 43, percentage: 6
melt: Current Frame: 44, percentage: 6
melt: Current Frame: 45, percentage: 6
melt: Current Frame: 46, percentage: 6
melt: Current Frame: 48, percentage: 7
melt: Current Frame: 49, percentage: 7
melt: Current Frame: 50, percentage: 7
melt: Current Frame: 51, percentage: 7
melt: Current Frame: 52, percentage: 7
melt: Current Frame: 53, percentage: 7
melt: Current Frame: 54, percentage: 7
melt: Current Frame: 55, percentage: 8 Current Frame: 56, percentage: 8 Current Frame: 57, percentage: 8 Current Frame: 58, percentage: 8 Current Frame: 59, percentage: 8 Current Frame: 60, percentage: 8 Current Frame: 62, percentage: 9 Current Frame: 63, percentage: 9 Current Frame: 64, percentage: 9 Current Frame: 65, percentage: 9 Current Frame: 66, percentage: 9 Current Frame: 67, percentage: 9 Current Frame: 68, percentage: 9 Current Frame: 69, percentage: 10 Current Frame: 70, percentage: 10 Current Frame: 71, percentage: 10 Current Frame: 72, percentage: 10 Current Frame: 73, percentage: 10 Current Frame: 74, percentage: 10 Current Frame: 75, percentage: 10 Current Frame: 76, percentage: 11 Current Frame: 77, percentage: 11 Current Frame: 78, percentage: 11 Current Frame: 79, percentage: 11 Current Frame: 80, percentage: 11 Current Frame: 81, percentage: 11 Current Frame: 82, percentage: 12 Current Frame: 83, percentage: 12 Current Frame: 84, percentage: 12 Current Frame: 85, percentage: 12 Current Frame: 86, percentage: 12
melt: Current Frame: 88, percentage: 12
melt: Current Frame: 89, percentage: 13
melt: Current Frame: 90, percentage: 13
melt: Current Frame: 91, percentage: 13
melt: Current Frame: 92, percentage: 13
melt: Current Frame: 93, percentage: 13
melt: Current Frame: 95, percentage: 13
melt: Current Frame: 96, percentage: 14
melt: Current Frame: 97, percentage: 14
melt: Current Frame: 98, percentage: 14
melt: Current Frame: 99, percentage: 14
melt: Current Frame: 100, percentage: 14
melt: Current Frame: 101, percentage: 14
melt: Current Frame: 103, percentage: 15
melt: Current Frame: 104, percentage: 15
melt: Current Frame: 105, percentage: 15
melt: Current Frame: 106, percentage: 15
melt: Current Frame: 107, percentage: 15
melt: Current Frame: 108, percentage: 15
melt: Current Frame: 110, percentage: 16
melt: Current Frame: 111, percentage: 16
melt: Current Frame: 112, percentage: 16
melt: Current Frame: 113, percentage: 16
melt: Current Frame: 114, percentage: 16
melt: Current Frame: 115, percentage: 16
melt: Current Frame: 116, percentage: 16
melt: Current Frame: 118, percentage: 17
melt: Current Frame: 119, percentage: 17
melt: Current Frame: 120, percentage: 17
melt: Current Frame: 121, percentage: 17
melt: Current Frame: 122, percentage: 17
melt: Current Frame: 123, percentage: 18
melt: Current Frame: 125, percentage: 18
melt: Current Frame: 126, percentage: 18
melt: Current Frame: 127, percentage: 18
melt: Current Frame: 128, percentage: 18
melt: Current Frame: 129, percentage: 18
melt: Current Frame: 130, percentage: 19
melt: Current Frame: 131, percentage: 19
melt: Current Frame: 133, percentage: 19
melt: Current Frame: 134, percentage: 19
melt: Current Frame: 135, percentage: 19
melt: Current Frame: 136, percentage: 19
melt: Current Frame: 137, percentage: 20
melt: Current Frame: 138, percentage: 20
melt: Current Frame: 140, percentage: 20
melt: Current Frame: 141, percentage: 20
melt: Current Frame: 142, percentage: 20
melt: Current Frame: 143, percentage: 20
melt: Current Frame: 144, percentage: 21
melt: Current Frame: 145, percentage: 21
melt: Current Frame: 147, percentage: 21
melt: Current Frame: 148, percentage: 21
melt: Current Frame: 149, percentage: 21
melt: Current Frame: 150, percentage: 21
melt: Current Frame: 151, percentage: 22
melt: Current Frame: 153, percentage: 22
melt: Current Frame: 154, percentage: 22
melt: Current Frame: 155, percentage: 22
melt: Current Frame: 156, percentage: 22
melt: Current Frame: 158, percentage: 23
melt: Current Frame: 159, percentage: 23
melt: Current Frame: 160, percentage: 23
melt: Current Frame: 161, percentage: 23
melt: Current Frame: 162, percentage: 23
melt: Current Frame: 164, percentage: 24
melt: Current Frame: 165, percentage: 24
melt: Current Frame: 166, percentage: 24
melt: Current Frame: 167, percentage: 24
melt: Current Frame: 168, percentage: 24 Current Frame: 169, percentage: 24 Current Frame: 171, percentage: 25 Current Frame: 172, percentage: 25 Current Frame: 173, percentage: 25 Current Frame: 174, percentage: 25 Current Frame: 175, percentage: 25 Current Frame: 177, percentage: 25 Current Frame: 178, percentage: 26 Current Frame: 179, percentage: 26 Current Frame: 180, percentage: 26 Current Frame: 181, percentage: 26 Current Frame: 183, percentage: 26 Current Frame: 184, percentage: 26 Current Frame: 185, percentage: 27 Current Frame: 186, percentage: 27 Current Frame: 188, percentage: 27 Current Frame: 189, percentage: 27 Current Frame: 190, percentage: 27 Current Frame: 191, percentage: 27 Current Frame: 192, percentage: 28 Current Frame: 193, percentage: 28
melt: Current Frame: 194, percentage: 28
melt: Current Frame: 195, percentage: 28
melt: Current Frame: 196, percentage: 28
melt: Current Frame: 197, percentage: 28
melt: Current Frame: 198, percentage: 28
melt: Current Frame: 199, percentage: 29
melt: Current Frame: 200, percentage: 29
melt: Current Frame: 201, percentage: 29
melt: Current Frame: 202, percentage: 29
melt: Current Frame: 204, percentage: 29
melt: Current Frame: 205, percentage: 30
melt: Current Frame: 206, percentage: 30
melt: Current Frame: 207, percentage: 30
melt: Current Frame: 208, percentage: 30
melt: Current Frame: 209, percentage: 30
melt: Current Frame: 210, percentage: 30
melt: Current Frame: 212, percentage: 31
melt: Current Frame: 213, percentage: 31
melt: Current Frame: 214, percentage: 31
melt: Current Frame: 215, percentage: 31
melt: Current Frame: 216, percentage: 31
melt: Current Frame: 217, percentage: 31
melt: Current Frame: 218, percentage: 31
melt: Current Frame: 220, percentage: 32
melt: Current Frame: 221, percentage: 32
melt: Current Frame: 222, percentage: 32
melt: Current Frame: 223, percentage: 32
melt: Current Frame: 224, percentage: 32
melt: Current Frame: 225, percentage: 32
melt: Current Frame: 226, percentage: 33
melt: Current Frame: 228, percentage: 33
melt: Current Frame: 229, percentage: 33
melt: Current Frame: 230, percentage: 33
melt: Current Frame: 231, percentage: 33
melt: Current Frame: 232, percentage: 33
melt: Current Frame: 233, percentage: 34
melt: Current Frame: 234, percentage: 34
melt: Current Frame: 235, percentage: 34
melt: Current Frame: 237, percentage: 34
melt: Current Frame: 238, percentage: 34
melt: Current Frame: 239, percentage: 34
melt: Current Frame: 240, percentage: 35
melt: Current Frame: 241, percentage: 35
melt: Current Frame: 242, percentage: 35
melt: Current Frame: 244, percentage: 35
melt: Current Frame: 245, percentage: 35
melt: Current Frame: 246, percentage: 36
melt: Current Frame: 247, percentage: 36
melt: Current Frame: 248, percentage: 36
melt: Current Frame: 249, percentage: 36
melt: Current Frame: 250, percentage: 36
melt: Current Frame: 251, percentage: 36
melt: Current Frame: 252, percentage: 36
melt: Current Frame: 253, percentage: 37
melt: Current Frame: 254, percentage: 37
melt: Current Frame: 255, percentage: 37
melt: Current Frame: 256, percentage: 37
melt: Current Frame: 257, percentage: 37
melt: Current Frame: 258, percentage: 37
melt: Current Frame: 259, percentage: 37
melt: Current Frame: 260, percentage: 38
melt: Current Frame: 261, percentage: 38
melt: Current Frame: 262, percentage: 38
melt: Current Frame: 263, percentage: 38
melt: Current Frame: 264, percentage: 38
melt: Current Frame: 265, percentage: 38
melt: Current Frame: 266, percentage: 38
melt: Current Frame: 267, percentage: 39
melt: Current Frame: 268, percentage: 39
melt: Current Frame: 269, percentage: 39
melt: Current Frame: 270, percentage: 39
melt: Current Frame: 271, percentage: 39
melt: Current Frame: 272, percentage: 39
melt: Current Frame: 273, percentage: 39
melt: Current Frame: 274, percentage: 40
melt: Current Frame: 275, percentage: 40
melt: Current Frame: 276, percentage: 40
melt: Current Frame: 278, percentage: 40
melt: Current Frame: 279, percentage: 40
melt: Current Frame: 280, percentage: 40
melt: Current Frame: 281, percentage: 41
melt: Current Frame: 282, percentage: 41
melt: Current Frame: 283, percentage: 41
melt: Current Frame: 284, percentage: 41
melt: Current Frame: 286, percentage: 41
melt: Current Frame: 287, percentage: 42
melt: Current Frame: 288, percentage: 42
melt: Current Frame: 289, percentage: 42
melt: Current Frame: 290, percentage: 42
melt: Current Frame: 292, percentage: 42
melt: Current Frame: 293, percentage: 42
melt: Current Frame: 294, percentage: 43
melt: Current Frame: 295, percentage: 43
melt: Current Frame: 296, percentage: 43
melt: Current Frame: 297, percentage: 43
melt: Current Frame: 298, percentage: 43
melt: Current Frame: 300, percentage: 43
melt: Current Frame: 301, percentage: 44
melt: Current Frame: 302, percentage: 44
melt: Current Frame: 303, percentage: 44
melt: Current Frame: 304, percentage: 44
melt: Current Frame: 305, percentage: 44
melt: Current Frame: 307, percentage: 44
melt: Current Frame: 308, percentage: 45
melt: Current Frame: 309, percentage: 45
melt: Current Frame: 310, percentage: 45
melt: Current Frame: 311, percentage: 45
melt: Current Frame: 312, percentage: 45
melt: Current Frame: 314, percentage: 45
